Number,PMID,PDF filename,PubMed record
1,23704672,23704672.pdf,https://pubmed.ncbi.nlm.nih.gov/23704672/
2,24170750,24170750.pdf,https://pubmed.ncbi.nlm.nih.gov/24170750/
3,27411697,27411697.pdf,https://pubmed.ncbi.nlm.nih.gov/27411697/
4,35834175,35834175.pdf,https://pubmed.ncbi.nlm.nih.gov/35834175/
5,36507632,36507632.pdf,https://pubmed.ncbi.nlm.nih.gov/36507632/
6,18835953,18835953.pdf,https://pubmed.ncbi.nlm.nih.gov/18835953/
7,18945920,18945920.pdf,https://pubmed.ncbi.nlm.nih.gov/18945920/
8,37635682,37635682.pdf,https://pubmed.ncbi.nlm.nih.gov/37635682/
9,17717284,17717284.pdf,https://pubmed.ncbi.nlm.nih.gov/17717284/
10,24170758,24170758.pdf,https://pubmed.ncbi.nlm.nih.gov/24170758/
11,37226675,37226675.pdf,https://pubmed.ncbi.nlm.nih.gov/37226675/
12,19118286,19118286.pdf,https://pubmed.ncbi.nlm.nih.gov/19118286/
13,29936424,29936424.pdf,https://pubmed.ncbi.nlm.nih.gov/29936424/
14,21525452,21525452.pdf,https://pubmed.ncbi.nlm.nih.gov/21525452/
15,20351228,20351228.pdf,https://pubmed.ncbi.nlm.nih.gov/20351228/
16,24107659,24107659.pdf,https://pubmed.ncbi.nlm.nih.gov/24107659/
17,19118288,19118288.pdf,https://pubmed.ncbi.nlm.nih.gov/19118288/
18,33560999,33560999.pdf,https://pubmed.ncbi.nlm.nih.gov/33560999/
19,35926104,35926104.pdf,https://pubmed.ncbi.nlm.nih.gov/35926104/
20,20668157,20668157.pdf,https://pubmed.ncbi.nlm.nih.gov/20668157/
21,30679302,30679302.pdf,https://pubmed.ncbi.nlm.nih.gov/30679302/
22,31182491,31182491.pdf,https://pubmed.ncbi.nlm.nih.gov/31182491/
23,16873782,16873782.pdf,https://pubmed.ncbi.nlm.nih.gov/16873782/
24,26421334,26421334.pdf,https://pubmed.ncbi.nlm.nih.gov/26421334/
25,37902975,37902975.pdf,https://pubmed.ncbi.nlm.nih.gov/37902975/
26,36455117,36455117.pdf,https://pubmed.ncbi.nlm.nih.gov/36455117/
27,35913075,35913075.pdf,https://pubmed.ncbi.nlm.nih.gov/35913075/
28,20103558,20103558.pdf,https://pubmed.ncbi.nlm.nih.gov/20103558/
29,22649859,22649859.pdf,https://pubmed.ncbi.nlm.nih.gov/22649859/
30,25414389,25414389.pdf,https://pubmed.ncbi.nlm.nih.gov/25414389/
31,22250063,22250063.pdf,https://pubmed.ncbi.nlm.nih.gov/22250063/
32,18445730,18445730.pdf,https://pubmed.ncbi.nlm.nih.gov/18445730/
33,22837369,22837369.pdf,https://pubmed.ncbi.nlm.nih.gov/22837369/
34,37563665,37563665.pdf,https://pubmed.ncbi.nlm.nih.gov/37563665/
35,22275443,22275443.pdf,https://pubmed.ncbi.nlm.nih.gov/22275443/
36,35700384,35700384.pdf,https://pubmed.ncbi.nlm.nih.gov/35700384/
37,30728224,30728224.pdf,https://pubmed.ncbi.nlm.nih.gov/30728224/
38,38011523,38011523.pdf,https://pubmed.ncbi.nlm.nih.gov/38011523/
39,23172970,23172970.pdf,https://pubmed.ncbi.nlm.nih.gov/23172970/
40,36148880,36148880.pdf,https://pubmed.ncbi.nlm.nih.gov/36148880/
41,35724305,35724305.pdf,https://pubmed.ncbi.nlm.nih.gov/35724305/
42,27486237,27486237.pdf,https://pubmed.ncbi.nlm.nih.gov/27486237/
43,35796765,35796765.pdf,https://pubmed.ncbi.nlm.nih.gov/35796765/
44,16443870,16443870.pdf,https://pubmed.ncbi.nlm.nih.gov/16443870/
45,21270184,21270184.pdf,https://pubmed.ncbi.nlm.nih.gov/21270184/
46,27289128,27289128.pdf,https://pubmed.ncbi.nlm.nih.gov/27289128/
47,23835692,23835692.pdf,https://pubmed.ncbi.nlm.nih.gov/23835692/
48,33893164,33893164.pdf,https://pubmed.ncbi.nlm.nih.gov/33893164/
49,23704680,23704680.pdf,https://pubmed.ncbi.nlm.nih.gov/23704680/
50,31519694,31519694.pdf,https://pubmed.ncbi.nlm.nih.gov/31519694/
51,33958424,33958424.pdf,https://pubmed.ncbi.nlm.nih.gov/33958424/
52,32546232,32546232.pdf,https://pubmed.ncbi.nlm.nih.gov/32546232/
53,28634202,28634202.pdf,https://pubmed.ncbi.nlm.nih.gov/28634202/
54,25249668,25249668.pdf,https://pubmed.ncbi.nlm.nih.gov/25249668/
55,27440826,27440826.pdf,https://pubmed.ncbi.nlm.nih.gov/27440826/
56,27926887,27926887.pdf,https://pubmed.ncbi.nlm.nih.gov/27926887/
57,33431422,33431422.pdf,https://pubmed.ncbi.nlm.nih.gov/33431422/
58,26858958,26858958.pdf,https://pubmed.ncbi.nlm.nih.gov/26858958/
59,37125963,37125963.pdf,https://pubmed.ncbi.nlm.nih.gov/37125963/
60,19875580,19875580.pdf,https://pubmed.ncbi.nlm.nih.gov/19875580/
61,22211894,22211894.pdf,https://pubmed.ncbi.nlm.nih.gov/22211894/
62,36512601,36512601.pdf,https://pubmed.ncbi.nlm.nih.gov/36512601/
63,30262460,30262460.pdf,https://pubmed.ncbi.nlm.nih.gov/30262460/
64,36251507,36251507.pdf,https://pubmed.ncbi.nlm.nih.gov/36251507/
65,35796766,35796766.pdf,https://pubmed.ncbi.nlm.nih.gov/35796766/
66,26826147,26826147.pdf,https://pubmed.ncbi.nlm.nih.gov/26826147/
67,33963019,33963019.pdf,https://pubmed.ncbi.nlm.nih.gov/33963019/
68,25147257,25147257.pdf,https://pubmed.ncbi.nlm.nih.gov/25147257/
69,39091005,39091005.pdf,https://pubmed.ncbi.nlm.nih.gov/39091005/
70,37471606,37471606.pdf,https://pubmed.ncbi.nlm.nih.gov/37471606/
71,19366959,19366959.pdf,https://pubmed.ncbi.nlm.nih.gov/19366959/
72,12453955,12453955.pdf,https://pubmed.ncbi.nlm.nih.gov/12453955/
73,36835101,36835101.pdf,https://pubmed.ncbi.nlm.nih.gov/36835101/
74,32461211,32461211.pdf,https://pubmed.ncbi.nlm.nih.gov/32461211/
75,26798150,26798150.pdf,https://pubmed.ncbi.nlm.nih.gov/26798150/
76,34728528,34728528.pdf,https://pubmed.ncbi.nlm.nih.gov/34728528/
77,28928117,28928117.pdf,https://pubmed.ncbi.nlm.nih.gov/28928117/
78,37354336,37354336.pdf,https://pubmed.ncbi.nlm.nih.gov/37354336/
79,21602431,21602431.pdf,https://pubmed.ncbi.nlm.nih.gov/21602431/
80,22228747,22228747.pdf,https://pubmed.ncbi.nlm.nih.gov/22228747/
81,39106206,39106206.pdf,https://pubmed.ncbi.nlm.nih.gov/39106206/
82,30291106,30291106.pdf,https://pubmed.ncbi.nlm.nih.gov/30291106/
83,18678611,18678611.pdf,https://pubmed.ncbi.nlm.nih.gov/18678611/
84,28546222,28546222.pdf,https://pubmed.ncbi.nlm.nih.gov/28546222/
85,28903978,28903978.pdf,https://pubmed.ncbi.nlm.nih.gov/28903978/
86,29371234,29371234.pdf,https://pubmed.ncbi.nlm.nih.gov/29371234/
87,27222552,27222552.pdf,https://pubmed.ncbi.nlm.nih.gov/27222552/
88,21617108,21617108.pdf,https://pubmed.ncbi.nlm.nih.gov/21617108/
89,16174140,16174140.pdf,https://pubmed.ncbi.nlm.nih.gov/16174140/
90,20097780,20097780.pdf,https://pubmed.ncbi.nlm.nih.gov/20097780/
91,21149524,21149524.pdf,https://pubmed.ncbi.nlm.nih.gov/21149524/
92,25249672,25249672.pdf,https://pubmed.ncbi.nlm.nih.gov/25249672/
93,30093549,30093549.pdf,https://pubmed.ncbi.nlm.nih.gov/30093549/
94,32733375,32733375.pdf,https://pubmed.ncbi.nlm.nih.gov/32733375/
95,19875553,19875553.pdf,https://pubmed.ncbi.nlm.nih.gov/19875553/
96,30373734,30373734.pdf,https://pubmed.ncbi.nlm.nih.gov/30373734/
97,34001535,34001535.pdf,https://pubmed.ncbi.nlm.nih.gov/34001535/
98,21115758,21115758.pdf,https://pubmed.ncbi.nlm.nih.gov/21115758/
99,35076712,35076712.pdf,https://pubmed.ncbi.nlm.nih.gov/35076712/
100,33863751,33863751.pdf,https://pubmed.ncbi.nlm.nih.gov/33863751/
101,36507645,36507645.pdf,https://pubmed.ncbi.nlm.nih.gov/36507645/
102,32903709,32903709.pdf,https://pubmed.ncbi.nlm.nih.gov/32903709/
103,23150286,23150286.pdf,https://pubmed.ncbi.nlm.nih.gov/23150286/
104,35944272,35944272.pdf,https://pubmed.ncbi.nlm.nih.gov/35944272/
105,26384389,26384389.pdf,https://pubmed.ncbi.nlm.nih.gov/26384389/
106,23801801,23801801.pdf,https://pubmed.ncbi.nlm.nih.gov/23801801/
107,18957534,18957534.pdf,https://pubmed.ncbi.nlm.nih.gov/18957534/
108,23635075,23635075.pdf,https://pubmed.ncbi.nlm.nih.gov/23635075/
109,24065845,24065845.pdf,https://pubmed.ncbi.nlm.nih.gov/24065845/
110,33310175,33310175.pdf,https://pubmed.ncbi.nlm.nih.gov/33310175/
111,23970716,23970716.pdf,https://pubmed.ncbi.nlm.nih.gov/23970716/
112,31221698,31221698.pdf,https://pubmed.ncbi.nlm.nih.gov/31221698/
113,21709298,21709298.pdf,https://pubmed.ncbi.nlm.nih.gov/21709298/
114,19509014,19509014.pdf,https://pubmed.ncbi.nlm.nih.gov/19509014/
115,25877814,25877814.pdf,https://pubmed.ncbi.nlm.nih.gov/25877814/
116,32444454,32444454.pdf,https://pubmed.ncbi.nlm.nih.gov/32444454/
117,23238661,23238661.pdf,https://pubmed.ncbi.nlm.nih.gov/23238661/
118,33402367,33402367.pdf,https://pubmed.ncbi.nlm.nih.gov/33402367/
119,29678865,29678865.pdf,https://pubmed.ncbi.nlm.nih.gov/29678865/
120,24101695,24101695.pdf,https://pubmed.ncbi.nlm.nih.gov/24101695/
121,34670785,34670785.pdf,https://pubmed.ncbi.nlm.nih.gov/34670785/
122,18955719,18955719.pdf,https://pubmed.ncbi.nlm.nih.gov/18955719/
123,34625431,34625431.pdf,https://pubmed.ncbi.nlm.nih.gov/34625431/
124,23801791,23801791.pdf,https://pubmed.ncbi.nlm.nih.gov/23801791/
125,35015079,35015079.pdf,https://pubmed.ncbi.nlm.nih.gov/35015079/
126,32561617,32561617.pdf,https://pubmed.ncbi.nlm.nih.gov/32561617/
127,26246459,26246459.pdf,https://pubmed.ncbi.nlm.nih.gov/26246459/
128,38166334,38166334.pdf,https://pubmed.ncbi.nlm.nih.gov/38166334/
129,26049552,26049552.pdf,https://pubmed.ncbi.nlm.nih.gov/26049552/
130,24159181,24159181.pdf,https://pubmed.ncbi.nlm.nih.gov/24159181/
131,29784698,29784698.pdf,https://pubmed.ncbi.nlm.nih.gov/29784698/
132,23173140,23173140.pdf,https://pubmed.ncbi.nlm.nih.gov/23173140/
133,27208372,27208372.pdf,https://pubmed.ncbi.nlm.nih.gov/27208372/
134,32669409,32669409.pdf,https://pubmed.ncbi.nlm.nih.gov/32669409/
135,36189689,36189689.pdf,https://pubmed.ncbi.nlm.nih.gov/36189689/
136,37471273,37471273.pdf,https://pubmed.ncbi.nlm.nih.gov/37471273/
137,27222548,27222548.pdf,https://pubmed.ncbi.nlm.nih.gov/27222548/
138,36644884,36644884.pdf,https://pubmed.ncbi.nlm.nih.gov/36644884/
139,23695817,23695817.pdf,https://pubmed.ncbi.nlm.nih.gov/23695817/
140,22025788,22025788.pdf,https://pubmed.ncbi.nlm.nih.gov/22025788/
141,29678866,29678866.pdf,https://pubmed.ncbi.nlm.nih.gov/29678866/
142,21722570,21722570.pdf,https://pubmed.ncbi.nlm.nih.gov/21722570/
143,24407538,24407538.pdf,https://pubmed.ncbi.nlm.nih.gov/24407538/
144,19729524,19729524.pdf,https://pubmed.ncbi.nlm.nih.gov/19729524/
145,18796621,18796621.pdf,https://pubmed.ncbi.nlm.nih.gov/18796621/
146,22517736,22517736.pdf,https://pubmed.ncbi.nlm.nih.gov/22517736/
147,36548709,36548709.pdf,https://pubmed.ncbi.nlm.nih.gov/36548709/
148,32029635,32029635.pdf,https://pubmed.ncbi.nlm.nih.gov/32029635/
149,19917136,19917136.pdf,https://pubmed.ncbi.nlm.nih.gov/19917136/
150,28325798,28325798.pdf,https://pubmed.ncbi.nlm.nih.gov/28325798/
